x1,x2,label
110,130,2
139,154,2
121,146,2
135,138,2
150,150,2
101,145,2
150,162,2
100,145,2
137,94,2
114,107,2
140,131,2
149,123,2
165,156,2
167,113,2
101,161,2
113,95,2
152,133,2
114,117,2
138,140,2
98,127,2
138,123,2
135,115,2
135,122,2
137,105,2
140,133,2
101,154,2
106,139,2
134,116,2
109,119,2
120,119,2
116,151,2
136,114,2
99,143,2
164,132,2
140,96,2
146,97,2
134,127,2
117,142,2
130,148,2
130,139,2
159,142,2
122,140,2
137,120,2
118,104,2
147,145,2
154,128,2
131,112,2
103,131,2
117,114,2
117,131,2
142,158,2
123,149,2
151,129,2
122,138,2
83,124,2
108,123,2
125,92,2
127,116,2
152,156,2
134,105,2
145,129,2
169,98,2
115,148,2
153,103,2
164,144,2
139,116,2
90,133,2
126,128,2
156,148,2
119,166,2
122,101,2
147,164,2
113,126,2
144,104,2
108,153,2
168,127,2
122,164,2
108,120,2
138,113,2
116,106,2
116,133,2
130,106,2
167,119,2
132,141,2
153,140,2
146,105,2
134,177,2
142,131,2
124,103,2
137,123,2
128,161,2
162,142,2
139,86,2
120,138,2
140,123,2
101,88,2
109,113,2
177,116,2
104,132,2
117,112,2
131,139,2
125,120,2
149,116,2
140,126,2
145,98,2
93,143,2
122,124,2
109,136,2
136,84,2
104,96,2
117,137,2
121,137,2
139,113,2
139,122,2
117,130,2
146,112,2
130,134,2
131,102,2
136,130,2
187,123,2
137,130,2
110,130,2
113,143,2
88,112,2
155,111,2
115,118,2
126,150,2
117,119,2
145,128,2
132,141,2
117,101,2
129,123,2
186,140,2
133,144,2
118,125,2
116,126,2
105,159,2
140,116,2
147,97,2
145,133,2
91,120,2
117,147,2
128,97,2
145,134,2
123,124,2
165,136,2
95,147,2
126,152,2
115,125,2
107,96,2
94,140,2
157,153,2
122,109,2
111,102,2
162,123,2
113,106,2
117,125,2
135,111,2
110,133,2
127,132,2
110,134,2
117,139,2
133,168,2
132,127,2
112,106,2
140,143,2
122,146,2
93,170,2
115,122,2
124,144,2
102,101,2
139,160,2
115,156,2
104,106,2
93,151,2
97,132,2
160,106,2
119,140,2
170,112,2
146,97,2
120,131,2
88,127,2
123,112,2
122,144,2
145,125,2
128,114,2
106,116,2
160,130,2
165,120,2
139,106,2
158,136,2
125,166,2
146,95,2
93,148,2
146,117,2
116,142,2
147,141,2
109,151,2
124,151,2
132,145,2
63,228,1
155,206,1
52,92,1
231,104,1
204,42,1
126,13,1
58,80,1
18,141,1
218,49,1
91,236,1
25,85,1
40,187,1
35,166,1
103,221,1
140,224,1
226,63,1
165,242,1
45,167,1
199,216,1
105,218,1
58,40,1
225,108,1
106,32,1
29,160,1
81,18,1
200,80,1
15,162,1
33,57,1
239,162,1
95,20,1
168,201,1
140,239,1
166,21,1
232,176,1
206,57,1
136,43,1
172,211,1
83,213,1
219,50,1
31,102,1
23,157,1
52,218,1
11,106,1
224,180,1
13,103,1
218,110,1
172,233,1
113,230,1
204,96,1
106,43,1
196,54,1
139,222,1
245,117,1
51,213,1
210,109,1
18,106,1
242,113,1
72,68,1
104,208,1
170,46,1
104,37,1
52,89,1
45,158,1
221,196,1
68,197,1
71,230,1
39,73,1
52,218,1
75,59,1
191,220,1
220,109,1
214,152,1
21,98,1
199,58,1
81,228,1
70,216,1
92,26,1
244,140,1
49,83,1
190,72,1
196,40,1
162,33,1
36,183,1
208,40,1
186,48,1
82,233,1
224,198,1
117,240,1
191,195,1
31,77,1
143,18,1
188,55,1
188,225,1
115,27,1
205,150,1
222,178,1
245,134,1
232,101,1
121,10,1
88,20,1
220,125,1
13,128,1
197,221,1
115,209,1
47,66,1
203,176,1
223,153,1
32,159,1
165,51,1
197,39,1
127,235,1
156,227,1
235,108,1
99,37,1
97,203,1
220,84,1
228,114,1
175,24,1
13,152,1
42,72,1
72,51,1
217,72,1
224,117,1
152,237,1
200,44,1
237,130,1
215,114,1
67,66,1
227,148,1
71,70,1
156,217,1
130,33,1
87,47,1
106,51,1
195,72,1
171,60,1
30,68,1
138,216,1
84,57,1
94,228,1
17,118,1
211,189,1
62,67,1
51,169,1
160,235,1
84,26,1
50,87,1
90,214,1
218,122,1
172,229,1
143,44,1
239,133,1
132,238,1
198,88,1
150,243,1
234,182,1
103,19,1
197,199,1
31,168,1
61,202,1
220,96,1
48,47,1
200,224,1
40,121,1
34,115,1
78,20,1
144,38,1
58,66,1
119,209,1
94,35,1
241,155,1
30,100,1
47,72,1
216,157,1
218,138,1
54,215,1
224,143,1
222,114,1
207,156,1
76,218,1
241,152,1
110,234,1
60,222,1
72,68,1
224,179,1
145,220,1
24,113,1
213,149,1
189,67,1
54,69,1
67,203,1
191,198,1
136,210,1
210,125,1
36,187,1
80,195,1
215,109,1
213,117,1
125,210,1
109,42,1
25,115,1
209,181,1
207,107,1
47,184,1
200,195,1
88,21,1
23,150,1
55,171,1
182,65,1
14,96,1
204,50,1
48,101,1
48,108,1
223,127,1
107,211,1
36,60,1
232,103,1
31,69,1
218,126,1
147,245,1
110,29,1
129,214,1
119,221,1
188,224,1
247,142,1
54,171,1
112,222,1
98,205,1
195,174,1
138,24,1
49,55,1
239,124,1
216,127,1
177,40,1
214,208,1
221,148,1
166,219,1
215,172,1
59,74,1
175,41,1
56,187,1
214,122,1
49,141,1
211,178,1
31,196,1
105,222,1
122,37,1
150,208,1
162,27,1
49,178,1
182,196,1
179,30,1
45,100,1
208,91,1
16,109,1
118,48,1
