Latitude,Longitude,label
55.591297,37.635121,0
55.846612,37.475901,3
55.55389,37.587548,11
55.759266,37.756001,4
55.887932,37.486518,3
55.774375,37.499261,3
55.624653,37.709953,0
55.708449,37.455115,1
55.664808,37.641101,0
55.747083,37.68934,4
55.617808,37.447684,1
55.821304,37.726514,10
55.754883,37.402618,7
55.71242,37.665204,4
55.871373,37.585408,3
55.719601,37.423026,1
55.876053,37.493645,3
55.741406,37.643357,4
55.753025,37.543515,6
55.529808,37.580283,11
55.646907,37.76077,0
55.884382,37.58633,3
55.778388,37.557022,6
55.714194,37.827618,8
55.5782,37.69477,0
55.673887,37.60532,6
55.56474,37.463128,11
55.525705,37.579524,11
55.841587,37.479976,3
55.748743,37.545644,6
55.872432,37.547527,3
55.725166,37.402775,1
55.703649,37.647616,4
55.576362,37.122604,9
55.998643,37.210569,5
55.764247,37.78331,8
55.533027,37.581758,11
55.564628,37.462787,11
55.698756,37.548582,6
55.59308,37.52217,11
55.748648,37.667083,4
55.726306,37.460721,1
55.773692,37.625805,6
55.734715,37.656896,4
55.764566,37.549874,6
55.834363,37.48551,3
55.760961,37.800779,8
55.850739,37.550476,3
55.588096,37.636551,0
55.80954,37.579708,3
55.781622,37.554975,6
55.815517,37.811824,8
55.789503,37.634862,10
55.84805,37.58931,3
55.791774,37.776606,8
55.925221,37.546218,3
55.679205,37.50139,1
55.741796,37.428922,1
55.852677,37.626219,10
55.690618,37.821682,8
55.812767,37.798567,8
55.698621,37.564316,6
55.816864,37.575612,3
55.537538,37.199659,9
55.862122,37.765498,10
55.662257,37.555041,6
55.753802,37.635395,4
55.567775,37.574737,11
55.734653,37.657509,4
55.538078,37.582598,11
55.730328,37.777,8
55.738468,37.67774,4
55.677733,37.483244,1
55.810574,37.807509,8
55.709116,37.455215,1
55.87779,37.489461,3
55.658946,37.564825,6
55.850228,37.433952,7
55.856508,37.535784,3
55.527331,37.579534,11
55.847179,37.611787,10
55.803751,37.393057,7
55.738232,37.527739,6
55.820668,37.729571,10
55.847025,37.62185,10
55.683671,37.416373,1
55.738513,37.856631,8
55.87585,37.493384,3
55.806994,37.748525,4
55.882474,37.482742,3
55.773888,37.619719,6
55.720585,37.584597,6
55.730953,37.722056,4
55.869008,37.516045,3
55.665933,37.838398,8
55.583976,37.597897,11
55.709228,37.504376,1
55.734502,37.505877,6
55.792475,37.625524,10
55.895427,37.666629,10
55.880886,37.446291,7
55.755295,37.812953,8
55.882503,37.483051,3
55.667089,37.487451,1
55.483328,37.37431,9
55.778507,37.556578,6
55.889913,37.557612,3
55.542152,37.583765,11
55.676562,37.5676,6
55.754494,37.747158,4
55.73648,37.591922,6
55.613286,37.661126,0
55.714068,37.827454,8
55.687005,37.524097,6
55.52212,37.577704,11
55.757232,37.43266,1
55.767617,37.565038,6
55.882792,37.463168,7
55.866474,37.494026,3
55.79182,37.490892,3
55.925194,37.546447,3
55.80364,37.70072,4
55.867392,37.67536,10
55.735437,37.594119,6
55.957317,37.186683,5
55.575076,37.472689,11
55.714193,37.827586,8
55.720406,37.776587,8
55.704051,37.517695,6
55.793929,37.585951,6
55.735579,37.613255,6
55.612053,37.724028,0
55.676385,37.672463,0
55.740758,37.81608,8
55.604843,37.631773,0
55.505173,37.530579,11
55.810531,37.770777,8
55.713998,37.827433,8
55.717933,37.751053,4
55.683675,37.569382,6
55.716583,37.451907,1
55.80823,37.773045,8
55.792697,37.607095,6
55.546808,37.585267,11
55.571745,37.595951,11
55.7361,37.567519,6
55.695233,37.532995,6
55.812016,37.824576,8
55.679694,37.553031,6
55.654548,37.757725,0
55.723845,37.858905,8
55.720674,37.450506,1
55.622867,37.42655,1
55.720373,37.599342,6
55.591553,37.527975,11
55.674229,37.486217,1
55.709304,37.848644,8
55.714012,37.827399,8
55.482401,37.363214,9
55.774867,37.500986,3
55.701253,37.831611,8
55.71272,37.830974,8
55.726611,37.760157,8
55.718905,37.6932,4
55.792291,37.592203,6
55.780025,37.819747,8
55.773669,37.616751,6
55.743541,37.615163,6
55.703764,37.57339,6
55.798491,37.684798,4
55.747239,37.582228,6
55.578827,37.58211,11
55.751324,37.819928,8
55.537868,37.459647,11
55.869239,37.515462,3
55.627084,37.691748,0
55.755864,37.737608,4
55.95709,37.186247,5
55.737581,37.65449,4
55.849329,37.551595,3
55.875858,37.493414,3
55.810192,37.792947,8
55.76842,37.741397,4
55.861364,37.398801,7
55.739133,37.567062,6
55.783852,37.514363,3
55.721243,37.434537,1
55.827448,37.831614,8
55.550716,37.587183,11
55.758117,37.749854,4
55.815996,37.638172,10
55.541492,37.478381,11
55.861914,37.416544,7
55.752346,37.720612,4
55.567185,37.596782,11
55.71415,37.827539,8
